frame_id,agent_id,pos_x,pos_y,scene_id,label,time,heading,velocity
0.0,0,0.5969998569999972,2.5957199254000027,0,pedestrian,0.0,0.042175837028312874,0.0
2.5,0,0.7553346106999972,2.6024017885400026,0,pedestrian,0.1,0.042175837028312874,1.5847568117620237
5.0,0,0.9136693643999971,2.609083651680003,0,pedestrian,0.2,0.04217583702831567,1.5847568117620237
7.5,0,1.072004118099997,2.6157655148200027,0,pedestrian,0.3,0.042175837028312874,1.584756811762024
10.0,0,1.2303388717999968,2.6224473779600026,0,pedestrian,0.4,0.04217583702831293,1.5847568117620205
12.5,0,1.388673625499997,2.629129241100003,0,pedestrian,0.5,0.042175837028315614,1.5847568117620263
15.0,0,1.5470083791999967,2.6358111042400028,0,pedestrian,0.6,0.04217583702831293,1.5847568117620214
17.5,0,1.7053431328999966,2.6424929673800026,0,pedestrian,0.7,0.042175837028312874,1.584756811762024
20.0,0,1.8636778865999966,2.6491748305200025,0,pedestrian,0.8,0.042175837028312874,1.5847568117620223
22.5,0,2.0220126402999963,2.6558566936600028,0,pedestrian,0.9,0.04217583702831573,1.5847568117620219
25.0,0,2.1803473939999964,2.6625385568000026,0,pedestrian,1.0,0.04217583702831281,1.5847568117620259
27.5,0,2.3317604098333296,2.6779551208000028,0,pedestrian,1.1,0.10146828447026877,1.5219583374491972
30.0,0,2.483173425666663,2.6933716848000024,0,pedestrian,1.2,0.10146828447026558,1.5219583374492045
32.5,0,2.634586441499996,2.7087882488000026,0,pedestrian,1.3,0.10146828447026877,1.5219583374491972
35.0,0,2.7859994573333293,2.7242048128000027,0,pedestrian,1.4,0.10146828447026877,1.5219583374492005
37.5,0,2.937412473166663,2.7396213768000024,0,pedestrian,1.5,0.10146828447026558,1.521958337449201
40.0,0,3.088825488999996,2.7550379408000025,0,pedestrian,1.6,0.10146828447026877,1.5219583374491972
42.5,0,3.2402385048333295,2.7704545048000027,0,pedestrian,1.7,0.10146828447026848,1.521958337449205
45.0,0,3.391651520666662,2.7858710688000023,0,pedestrian,1.8,0.10146828447026617,1.5219583374491925
47.5,0,3.5430645364999958,2.8012876328000025,0,pedestrian,1.9,0.10146828447026848,1.521958337449205
50.0,0,3.6944775523333293,2.8167041968000026,0,pedestrian,2.0,0.10146828447026848,1.5219583374492016
52.5,0,3.845890568166662,2.8321207608000023,0,pedestrian,2.1,0.10146828447026617,1.5219583374491925
55.0,0,3.9973035839999955,2.8475373248000024,0,pedestrian,2.2,0.10146828447026848,1.5219583374492016
57.5,0,4.135459238999996,2.8236665149935507,0,pedestrian,2.3,-0.17109276273685736,1.4020271241775255
60.0,0,4.273614893999995,2.7997957051870994,0,pedestrian,2.4,-0.1710927627368553,1.40202712417751
62.5,0,4.411770548999995,2.7759248953806477,0,pedestrian,2.5,-0.17109276273685736,1.4020271241775193
65.0,0,4.549926203999996,2.752054085574196,0,pedestrian,2.6,-0.17109276273685736,1.4020271241775193
67.5,0,4.688081858999995,2.728183275767744,0,pedestrian,2.7,-0.17109276273685844,1.4020271241775109
70.0,0,4.826237513999995,2.704312465961293,0,pedestrian,2.8,-0.17109276273685423,1.402027124177525
72.5,0,4.964393168999996,2.680441656154841,0,pedestrian,2.9,-0.17109276273685736,1.4020271241775193
75.0,0,5.102548823999996,2.6565708463483895,0,pedestrian,3.0,-0.17109276273685736,1.4020271241775193
77.5,0,5.240704478999995,2.632700036541938,0,pedestrian,3.1,-0.1710927627368553,1.40202712417751
80.0,0,5.3788601339999955,2.6088292267354865,0,pedestrian,3.2,-0.17109276273685736,1.4020271241775193
82.5,0,5.517015788999996,2.5849584169290347,0,pedestrian,3.3,-0.17109276273685736,1.4020271241775255
85.0,0,5.655171443999995,2.561087607122583,0,pedestrian,3.4,-0.17109276273685844,1.4020271241775109
87.5,0,5.807049630388884,2.5363593763000027,0,pedestrian,3.5,-0.16139996485647565,1.5387809753305672
90.0,0,5.9680761710370325,2.5110595314666693,0,pedestrian,3.6,-0.1558419845409411,1.6300192925760237
92.5,0,6.12910271168518,2.485759686633336,0,pedestrian,3.7,-0.15584198454094192,1.630019292576015
95.0,0,6.290129252333328,2.4604598418000028,0,pedestrian,3.8,-0.1558419845409384,1.6300192925760302
97.5,0,6.451155792981476,2.4351599969666693,0,pedestrian,3.9,-0.1558419845409411,1.6300192925760237
100.0,0,6.612182333629624,2.409860152133336,0,pedestrian,4.0,-0.1558419845409411,1.6300192925760237
102.5,0,6.773208874277772,2.384560307300003,0,pedestrian,4.1,-0.1558419845409384,1.6300192925760302
105.0,0,6.93423541492592,2.3592604624666693,0,pedestrian,4.2,-0.1558419845409411,1.6300192925760164
107.5,0,7.095261955574068,2.333960617633336,0,pedestrian,4.3,-0.15584198454094192,1.6300192925760224
110.0,0,7.256288496222216,2.308660772800003,0,pedestrian,4.4,-0.1558419845409384,1.6300192925760155
